-1605;80;-3390;1731074845010;world
-1642;72;-3423;1730993892459;world
-1605;80;-3391;1731074841962;world
-1605;80;-3392;1731074885312;world
-1693;67;-3419;1731079280240;world
-1693;67;-3418;1731079004486;world
-1693;67;-3417;1731081114361;world
-1693;67;-3422;1731078980187;world
-1693;67;-3421;1731079279589;world
-1693;67;-3420;1731079279844;world
-1691;71;-3424;1731081414628;world
-1691;71;-3422;1731080907791;world
-1693;67;-3431;1731079242839;world
-1689;75;-3427;1731084193840;world
-1693;67;-3430;1731078956288;world
-1593;72;-3429;1730989408457;world
-1644;67;-3417;1731072571905;world
-1693;67;-3433;1731081010555;world
-1693;67;-3432;1731078952988;world
-1691;71;-3430;1731080834004;world
-1643;69;-3417;1730994797998;world
-1644;67;-3423;1731072350553;world
-1644;69;-3423;1730994826826;world
-1693;68;-3418;1731080505011;world
-1695;64;-3418;1731078658234;world
-1693;68;-3422;1731080696706;world
-1692;70;-3422;1731081140960;world
-1695;64;-3432;1731078770835;world
-1693;68;-3430;1731078956739;world
-1605;80;-3378;1731074417439;world
-1643;70;-3417;1730994799603;world
-1642;72;-3417;1730993881309;world
-1693;68;-3432;1731080543307;world
-1644;68;-3417;1731072565952;world
-1689;76;-3427;1731084194293;world
-1605;80;-3380;1731074405387;world
-1692;70;-3430;1731081364664;world
-1644;68;-3423;1731072344007;world
-1643;72;-3423;1730993893209;world
-1645;68;-3423;1731072070001;world
-1644;70;-3423;1730994827575;world
-1606;80;-3392;1731074891413;world
-1606;80;-3390;1731074846110;world
-1606;80;-3391;1731074876361;world
-1694;67;-3418;1731079261440;world
-1693;69;-3421;1731081839470;world
-1693;69;-3418;1731080506206;world
-1692;71;-3424;1731081415180;world
-1692;71;-3422;1731080908392;world
-1693;69;-3422;1731080697208;world
-1594;72;-3429;1730989409555;world
-1644;69;-3417;1730994391546;world
-1594;72;-3431;1730989410152;world
-1692;71;-3432;1731081046156;world
-1693;69;-3432;1731080543808;world
-1594;72;-3430;1730989409959;world
-1643;71;-3417;1730994799053;world
-1693;69;-3431;1731081386764;world
-1594;72;-3433;1730989410557;world
-1694;67;-3432;1731079236689;world
-1692;71;-3430;1731080834753;world
-1693;69;-3430;1731080537961;world
-1594;72;-3432;1730989410356;world
-1645;67;-3417;1731072060000;world
-1594;72;-3435;1730989411153;world
-1594;72;-3434;1730989410806;world
-1645;67;-3423;1731072069550;world
-1594;72;-3437;1730989412057;world
-1594;72;-3436;1730989411604;world
-1644;71;-3423;1730994828376;world
-1646;67;-3425;1731072336105;world
-1646;67;-3426;1731072071704;world
-1646;67;-3424;1731072336905;world
